;FP.CPI.TOTL;IC.REG.COST.PC.ZS;BN.CAB.XOKA.GD.ZS;FS.AST.PRVT.GD.ZS;SL.AGR.EMPL.ZS;SL.IND.EMPL.ZS;NE.EXP.GNFS.ZS;SP.DYN.TFRT.IN;BX.KLT.DINV.WD.GD.ZS;BM.KLT.DINV.WD.GD.ZS;NY.GDP.MKTP.CD;NY.GNP.PCAP.KD;NY.GNS.ICTR.ZS;HD.HCI.OVRL;IT.NET.USER.ZS;SL.TLF.BASC.ZS;SL.TLF.INTM.ZS;SP.DYN.LE00.FE.IN;TX.MNF.TECH.ZS.UN;MS.MIL.XPND.GD.ZS;IT.CEL.SETS.P2;SP.DYN.IMRT.IN;SP.POP.65UP.TO.ZS;EN.POP.DNST;SP.POP.GROW;SP.POP.TOTL.FE.ZS;SN.ITK.SVFI.ZS;GC.TAX.TOTL.GD.ZS;SL.UEM.TOTL.ZS
count;13,0;13,0;13,0;12,0;13,0;13,0;13,0;13,0;13,0;13,0;13,0;13,0;13,0;13,0;13,0;12,0;13,0;13,0;13,0;13,0;13,0;13,0;13,0;13,0;13,0;13,0;11,0;13,0;13,0
mean;110,121376935239;5,707692307692308;0,7141722469032855;103,61408162522658;3,8903076511163013;22,219769184405987;43,6783731541014;1,4226769230769232;2,200532396382046;0,27500276459327166;1568694096266,226;39655,755008323016;23,002606560450484;0,7740687727928162;74,96087460769232;37,695724805196114;63,58426108727088;84,81023076923078;55,354252815418775;1,5172764368088616;121,1309550546154;2,876923076923077;19,976384263174914;182,00779331198868;0,29937928466806063;50,902179407715536;1,5363636363636362;19,870187094830644;7,938384587948132
std;4,746036736910507;5,037767617119965;3,3503465702328596;30,710631567048136;2,9215006588453227;3,735829837038951;17,7025119291721;0,21109758467687462;6,769472694262011;5,1671091916535365;1551541133588,2732;10848,411491120529;6,290027091443519;0,04045043568112763;19,107348975497793;8,084174179532399;4,648915837150481;1,2649047496317753;16,63883336787426;0,5922569555544986;15,582358162206775;0,7224424384842553;3,625577576538017;153,46419373199535;0,46377712913451347;0,7258662778221431;1,087449058368002;5,688636048454178;4,8161595093488145
min;101,692133369644;0,3;-4,27477159582603;68,1626682474067;0,994000017642975;15,2480001449585;18,524908818909;0,977;-10,0958848925742;-13,1525081621267;24961995748,701;23414,0555801912;12,1630753905938;0,694805860519409;20,08130004;27,414400100708;55,6699981689453;82,913;25,4595751968926;0,735992539307036;89,57894095;1,8;13,7190617734483;4,07518823864492;-0,202880238259165;49,9168817920843;0,0;11,5059039520149;2,40000009536743
25%;108,842316422953;1,6;-1,65660240360974;82,86189556781473;2,16599988937378;20,2889995574951;32,0772118338598;1,329;0,708052418356089;0,600723707577026;275893681355,892;30392,1815403116;19,6710631664349;0,754617035388947;71,04276107;31,211949825286826;60,4999008178711;84,1;48,5052472581986;1,23376875688812;115,6330424;2,6;18,7887437383395;93,6771974435832;-0,160104021146769;50,593319387085;0,7;14,2482113936781;4,84800004959106
50%;110,25151180504;4,8;0,379940301856613;95,79783539964485;3,69400000572205;22,3369998931885;38,5987063725787;1,42;1,89922215697008;1,91004537093544;1419735245004,71;44705,8913721057;22,7268773582271;0,763772785663605;76,07436064;36,51619911193845;63,3440017700195;84,5;55,3251092205194;1,3327023072539;123,5352681;2,8;20,0346247469881;122,299437237519;0,300526701992065;50,8294266482503;1,1;22,7551770073532;6,99300003051758
75%;114,524899828277;7,5;2,47032319377526;113,19330412603875;4,2039999961853;25,2019996643066;47,416105275433;1,4988;3,23932907151029;3,0757923526219;2085764300862,27;48982,9341063146;27,6389350008521;0,800089955329895;83,57717486;44,55499839782712;65,5979995727539;85,7;65,8786801370286;1,77952935913835;129,6727883;3,3;21,7207875455222;237,30759674834;0,475334410431755;51,1592591291078;2,15;24,2504649330681;9,05900001525879
max;116,2778868282;14,6;7,4204052199306;169,38327678019;12,2679996490479;27,3400001525879;82,6275276825359;1,88;20,858715451638;4,52756415053772;4954806619995,19;50947,5612296152;35,6849703802013;0,840709209442139;97,31920437;49,9457015991211;74,8666000366211;87,32;80,6588624181452;2,61734363736466;141,4069924;4,3;27,576369910355;529,358501289308;1,39794779099322;52,7119617105452;3,6;26,1935223578916;19,2919998168945
count;6,0;6,0;6,0;5,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;5,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;4,0;5,0;6,0
mean;161,23428908188234;9,55;-2,8967913431173646;50,56028455661808;18,926333223779988;23,678166389465318;23,135749935353882;2,1203333333333334;2,441678580644195;0,48551147186568167;1358801538698,4578;8607,45308014693;23,58531536215708;0,5704684158166248;82,48585198399999;52,65301640828452;62,74923388163247;76,97416666666666;46,394410706393415;1,4180300292165133;104,95847806166667;15,649999999999999;7,964107648593521;135,98087405061065;1,0979358609839387;50,25029684558263;6,7;13,0910810557187;7,59466671943666
